French Sentence,English Translation,POS Sequence,Dependency Sequence,Valence,Relative Position
Le chagrin était une blessure incurable et béante.,Sorrow was an incurable and gaping wound.,DET NOUN AUX DET NOUN ADJ CCONJ ADJ PUNCT,"était-nsubj-chagrin,était-cop-était,était-obj-blessure,blessure-det-une,blessure-amod-incurable,incurable-conj-béante,chagrin-det-le",-0.9,2
"Elle se sentait prisonnière de son corps, de son esprit et de son passé.","She felt trapped in her body, mind, and past.",PRON PRON VERB VERB ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"sentait-nsubj-elle,sentait-obj-se,sentait-xcomp-prisonnière,prisonnière-obl-corps,corps-det-son,corps-conj-esprit,esprit-det-son,esprit-conj-passé,passé-det-son,passé-case-de son",-0.9,3
Les larmes étaient sa seule nourriture et sa seule consolation.,Tears were her only nourishment and her only consolation.,DET NOUN AUX DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT,"étaient-nsubj-larmes,étaient-cop-étaient,étaient-obj-nourriture,nourriture-det-sa seule,nourriture-conj-consolation,consolation-det-sa seule,larmes-det-les",-0.8,2
"Un vide immense, froid, sombre et sans fin.","A huge, cold, dark, and endless void.",DET NOUN ADJ PUNCT ADJ PUNCT ADJ CCONJ ADP NOUN PUNCT,"vide-det-un,immense-amod-immense,froid-amod-froid,sombre-amod-sombre,fin-case-sans",-0.9,0
Le monde était un cauchemar de souffrance et de désolation.,The world was a nightmare of suffering and desolation.,DET NOUN AUX DET NOUN ADP NOUN CCONJ ADP NOUN PUNCT,"était-nsubj-monde,était-cop-était,était-obj-cauchemar,cauchemar-det-un,cauchemar-nmod-souffrance,souffrance-case-de,souffrance-conj-désolation,désolation-case-de,monde-det-le",-0.9,2
"Elle portait le poids de sa solitude, de son silence et de sa douleur.","She carried the weight of her loneliness, her silence, and her pain.",PRON VERB DET NOUN ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"portait-nsubj-elle,portait-obj-poids,poids-det-le,poids-nmod-solitude,solitude-det-sa,solitude-conj-silence,silence-det-son,silence-conj-douleur,douleur-det-sa,douleur-case-de sa",-0.8,2
"Les jours s'éteignaient dans l'oubli, le désespoir, l'amertume et la résignation.","The days died out in oblivion, despair, bitterness, and resignation.",DET NOUN PRON VERB ADP DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"éteignaient-nsubj-jours,éteignaient-obj-s',éteignaient-obl-oubli,oubli-det-l',oubli-conj-désespoir,désespoir-det-le,désespoir-conj-amertume,amertume-det-l',amertume-conj-résignation,résignation-det-la,jours-det-les",-0.9,2
"Un cœur lourd, vide, brisé, désespéré et sans espoir.","A heavy, empty, broken, desperate, and hopeless heart.",DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADP NOUN PUNCT,"cœur-det-un,lourd-amod-lourd,vide-amod-vide,brisé-amod-brisé,désespéré-amod-désespéré,espoir-case-sans",-0.9,0
"Le silence était un linceul froid, sombre et lourd.","Silence was a cold, dark, and heavy shroud.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ CCONJ ADJ PUNCT,"était-nsubj-silence,était-cop-était,était-obj-linceul,linceul-det-un,linceul-amod-froid,froid-conj-sombre,sombre-conj-lourd,silence-det-le",-0.8,2
"Il ne restait que l'écho de sa voix, de ses larmes et de son désespoir.","Only the echo of his voice, tears, and despair remained.",PRON ADV VERB ADV DET NOUN ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"restait-nsubj-il,restait-advmod-ne,restait-advmod-que,restait-obj-écho,écho-det-l',écho-nmod-voix,voix-det-sa,voix-conj-larmes,larmes-det-ses,larmes-conj-désespoir,désespoir-det-son,désespoir-case-de son",-0.9,2
"Elle pleurait l'absence de lumière, d'espoir et de chaleur.","She cried for the absence of light, hope, and warmth.",PRON VERB DET NOUN ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"pleurait-nsubj-elle,pleurait-obj-absence,absence-det-l',absence-nmod-lumière,lumière-case-de,lumière-conj-espoir,espoir-case-d',espoir-conj-chaleur,chaleur-case-de",-0.8,2
"Les étoiles étaient des larmes gelées, silencieuses et amères.","The stars were frozen, silent, and bitter tears.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ CCONJ ADJ PUNCT,"étaient-nsubj-étoiles,étaient-cop-étaient,étaient-obj-larmes,larmes-det-des,larmes-amod-gelées,gelées-conj-silencieuses,silencieuses-conj-amères,étoiles-det-les",-0.7,2
"Un voile de tristesse éternelle, profonde et sans fin.","A veil of eternal, deep, and endless sadness.",DET NOUN ADP NOUN ADJ PUNCT ADJ CCONJ ADP NOUN PUNCT,"voile-det-un,voile-nmod-tristesse,tristesse-case-de,tristesse-amod-éternelle,éternelle-conj-profonde,profonde-conj-sans fin,fin-case-sans",-0.9,0
"Le chagrin était une blessure incurable, béante et purulente.","Sorrow was an incurable, gaping, and festering wound.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ CCONJ ADJ PUNCT,"était-nsubj-chagrin,était-cop-était,était-obj-blessure,blessure-det-une,blessure-amod-incurable,incurable-conj-béante,béante-conj-purulente,chagrin-det-le",-0.9,2
"Elle se sentait prisonnière de son corps, de son esprit, de son passé et de son destin.","She felt trapped in her body, mind, past, and destiny.",PRON PRON VERB VERB ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"sentait-nsubj-elle,sentait-obj-se,sentait-xcomp-prisonnière,prisonnière-obl-corps,corps-det-son,corps-conj-esprit,esprit-det-son,esprit-conj-passé,passé-det-son,passé-conj-destin,destin-det-son,destin-case-de son",-0.9,3
"Les larmes étaient sa seule nourriture, sa seule consolation et sa seule échappatoire.","Tears were her only nourishment, her only consolation, and her only escape.",DET NOUN AUX DET ADJ NOUN PUNCT DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT,"étaient-nsubj-larmes,étaient-cop-étaient,étaient-obj-nourriture,nourriture-det-sa seule,nourriture-conj-consolation,consolation-det-sa seule,consolation-conj-échappatoire,échappatoire-det-sa seule,larmes-det-les",-0.8,2
"Un vide immense, froid, sombre, sans fin et abyssal.","A huge, cold, dark, endless, and abyssal void.",DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADP NOUN CCONJ ADJ PUNCT,"vide-det-un,immense-amod-immense,froid-amod-froid,sombre-amod-sombre,fin-case-sans,abyssal-amod-abyssal",-0.9,0
"Le monde était un cauchemar de souffrance, de désolation et de solitude.","The world was a nightmare of suffering, desolation, and loneliness.",DET NOUN AUX DET NOUN ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"était-nsubj-monde,était-cop-était,était-obj-cauchemar,cauchemar-det-un,cauchemar-nmod-souffrance,souffrance-case-de,souffrance-conj-désolation,désolation-case-de,désolation-conj-solitude,solitude-case-de,monde-det-le",-0.9,2
"Elle portait le poids de sa solitude, de son silence, de sa douleur et de son désespoir.","She carried the weight of her loneliness, her silence, her pain, and her despair.",PRON VERB DET NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"portait-nsubj-elle,portait-obj-poids,poids-det-le,poids-nmod-solitude,solitude-det-sa,solitude-conj-silence,silence-det-son,silence-conj-douleur,douleur-det-sa,douleur-conj-désespoir,désespoir-det-son,désespoir-case-de son",-0.9,2
"Les jours s'éteignaient dans l'oubli, le désespoir, l'amertume, la résignation et la mort.","The days died out in oblivion, despair, bitterness, resignation, and death.",DET NOUN PRON VERB ADP DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"éteignaient-nsubj-jours,éteignaient-obj-s',éteignaient-obl-oubli,oubli-det-l',oubli-conj-désespoir,désespoir-det-le,désespoir-conj-amertume,amertume-det-l',amertume-conj-résignation,résignation-det-la,résignation-conj-mort,mort-det-la,jours-det-les",-0.9,2
"Un cœur lourd, vide, brisé, désespéré, sans espoir et sans vie.","A heavy, empty, broken, desperate, hopeless, and lifeless heart.",DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"cœur-det-un,lourd-amod-lourd,vide-amod-vide,brisé-amod-brisé,désespéré-amod-désespéré,espoir-case-sans,vie-case-sans",-0.9,0
"Le silence était un linceul froid, sombre, lourd et éternel.","Silence was a cold, dark, heavy, and eternal shroud.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"était-nsubj-silence,était-cop-était,était-obj-linceul,linceul-det-un,linceul-amod-froid,froid-conj-sombre,sombre-conj-lourd,lourd-conj-éternel,silence-det-le",-0.9,2
"Il ne restait que l'écho de sa voix, de ses larmes, de son désespoir et de sa solitude.","Only the echo of his voice, tears, despair, and loneliness remained.",PRON ADV VERB ADV DET NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"restait-nsubj-il,restait-advmod-ne,restait-advmod-que,restait-obj-écho,écho-det-l',écho-nmod-voix,voix-det-sa,voix-conj-larmes,larmes-det-ses,larmes-conj-désespoir,désespoir-det-son,désespoir-conj-solitude,solitude-det-sa,solitude-case-de sa",-0.9,2
"Elle pleurait l'absence de lumière, d'espoir, de chaleur et de joie.","She cried for the absence of light, hope, warmth, and joy.",PRON VERB DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"pleurait-nsubj-elle,pleurait-obj-absence,absence-det-l',absence-nmod-lumière,lumière-case-de,lumière-conj-espoir,espoir-case-d',espoir-conj-chaleur,chaleur-case-de,chaleur-conj-joie,joie-case-de",-0.8,2
"Les étoiles étaient des larmes gelées, silencieuses, amères et infinies.","The stars were frozen, silent, bitter, and infinite tears.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"étaient-nsubj-étoiles,étaient-cop-étaient,étaient-obj-larmes,larmes-det-des,larmes-amod-gelées,gelées-conj-silencieuses,silencieuses-conj-amères,amères-conj-infinies,étoiles-det-les",-0.7,2
"Un voile de tristesse éternelle, profonde, sans fin et accablante.","A veil of eternal, deep, endless, and overwhelming sadness.",DET NOUN ADP NOUN ADJ PUNCT ADJ PUNCT ADP NOUN CCONJ ADJ PUNCT,"voile-det-un,voile-nmod-tristesse,tristesse-case-de,tristesse-amod-éternelle,éternelle-conj-profonde,profonde-conj-sans fin,fin-case-sans,fin-conj-accablante",-0.9,0
"Le chagrin était une blessure incurable, béante, purulente et mortelle.","Sorrow was an incurable, gaping, festering, and deadly wound.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"était-nsubj-chagrin,était-cop-était,était-obj-blessure,blessure-det-une,blessure-amod-incurable,incurable-conj-béante,béante-conj-purulente,purulente-conj-mortelle,chagrin-det-le",-0.9,2
"Elle se sentait prisonnière de son corps, de son esprit, de son passé, de son destin et de son désespoir.","She felt trapped in her body, mind, past, destiny, and despair.",PRON PRON VERB VERB ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"sentait-nsubj-elle,sentait-obj-se,sentait-xcomp-prisonnière,prisonnière-obl-corps,corps-det-son,corps-conj-esprit,esprit-det-son,esprit-conj-passé,passé-det-son,passé-conj-destin,destin-det-son,destin-conj-désespoir,désespoir-det-son,désespoir-case-de son",-0.9,3
"Les larmes étaient sa seule nourriture, sa seule consolation, sa seule échappatoire et sa seule amie.","Tears were her only nourishment, her only consolation, her only escape, and her only friend.",DET NOUN AUX DET ADJ NOUN PUNCT DET ADJ NOUN PUNCT DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT,"étaient-nsubj-larmes,étaient-cop-étaient,étaient-obj-nourriture,nourriture-det-sa seule,nourriture-conj-consolation,consolation-det-sa seule,consolation-conj-échappatoire,échappatoire-det-sa seule,échappatoire-conj-amie,amie-det-sa seule,larmes-det-les",-0.8,2
"Un vide immense, froid, sombre, sans fin, abyssal et désespérant.","A huge, cold, dark, endless, abyssal, and despairing void.",DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADP NOUN PUNCT ADJ CCONJ ADJ PUNCT,"vide-det-un,immense-amod-immense,froid-amod-froid,sombre-amod-sombre,fin-case-sans,abyssal-amod-abyssal,désespérant-amod-désespérant",-0.9,0
"Le monde était un cauchemar de souffrance, de désolation, de solitude et de vide.","The world was a nightmare of suffering, desolation, loneliness, and emptiness.",DET NOUN AUX DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"était-nsubj-monde,était-cop-était,était-obj-cauchemar,cauchemar-det-un,cauchemar-nmod-souffrance,souffrance-case-de,souffrance-conj-désolation,désolation-case-de,désolation-conj-solitude,solitude-case-de,solitude-conj-vide,vide-case-de,monde-det-le",-0.9,2
"Elle portait le poids de sa solitude, de son silence, de sa douleur, de son désespoir et de sa résignation.","She carried the weight of her loneliness, her silence, her pain, her despair, and her resignation.",PRON VERB DET NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"portait-nsubj-elle,portait-obj-poids,poids-det-le,poids-nmod-solitude,solitude-det-sa,solitude-conj-silence,silence-det-son,silence-conj-douleur,douleur-det-sa,douleur-conj-désespoir,désespoir-det-son,désespoir-conj-résignation,résignation-det-sa,résignation-case-de sa",-0.9,2
"Les jours s'éteignaient dans l'oubli, le désespoir, l'amertume, la résignation, la mort et le néant.","The days died out in oblivion, despair, bitterness, resignation, death, and nothingness.",DET NOUN PRON VERB ADP DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"éteignaient-nsubj-jours,éteignaient-obj-s',éteignaient-obl-oubli,oubli-det-l',oubli-conj-désespoir,désespoir-det-le,désespoir-conj-amertume,amertume-det-l',amertume-conj-résignation,résignation-det-la,résignation-conj-mort,mort-det-la,mort-conj-néant,néant-det-le,jours-det-les",-0.9,2
"Un cœur lourd, vide, brisé, désespéré, sans espoir, sans vie et sans avenir.","A heavy, empty, broken, desperate, hopeless, lifeless, and futureless heart.",DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"cœur-det-un,lourd-amod-lourd,vide-amod-vide,brisé-amod-brisé,désespéré-amod-désespéré,espoir-case-sans,vie-case-sans,avenir-case-sans",-0.9,0
"Le silence était un linceul froid, sombre, lourd, éternel et oppressant.","Silence was a cold, dark, heavy, eternal, and oppressive shroud.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"était-nsubj-silence,était-cop-était,était-obj-linceul,linceul-det-un,linceul-amod-froid,froid-conj-sombre,sombre-conj-lourd,lourd-conj-éternel,éternel-conj-oppressant,silence-det-le",-0.9,2
"Il ne restait que l'écho de sa voix, de ses larmes, de son désespoir, de sa solitude et de son néant.","Only the echo of his voice, tears, despair, loneliness, and nothingness remained.",PRON ADV VERB ADV DET NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"restait-nsubj-il,restait-advmod-ne,restait-advmod-que,restait-obj-écho,écho-det-l',écho-nmod-voix,voix-det-sa,voix-conj-larmes,larmes-det-ses,larmes-conj-désespoir,désespoir-det-son,désespoir-conj-solitude,solitude-det-sa,solitude-conj-néant,néant-det-son,néant-case-de son",-0.9,2
"Elle pleurait l'absence de lumière, d'espoir, de chaleur, de joie et d'amour.","She cried for the absence of light, hope, warmth, joy, and love.",PRON VERB DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"pleurait-nsubj-elle,pleurait-obj-absence,absence-det-l',absence-nmod-lumière,lumière-case-de,lumière-conj-espoir,espoir-case-d',espoir-conj-chaleur,chaleur-case-de,chaleur-conj-joie,joie-case-de,joie-conj-amour,amour-case-d'",-0.8,2
"Les étoiles étaient des larmes gelées, silencieuses, amères, infinies et éternelles.","The stars were frozen, silent, bitter, infinite, and eternal tears.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"étaient-nsubj-étoiles,étaient-cop-étaient,étaient-obj-larmes,larmes-det-des,larmes-amod-gelées,gelées-conj-silencieuses,silencieuses-conj-amères,amères-conj-infinies,infinies-conj-éternelles,étoiles-det-les",-0.7,2
"Un voile de tristesse éternelle, profonde, sans fin, accablante et suffocante.","A veil of eternal, deep, endless, overwhelming, and suffocating sadness.",DET NOUN ADP NOUN ADJ PUNCT ADJ PUNCT ADP NOUN PUNCT ADJ CCONJ ADJ PUNCT,"voile-det-un,voile-nmod-tristesse,tristesse-case-de,tristesse-amod-éternelle,éternelle-conj-profonde,profonde-conj-sans fin,fin-case-sans,fin-conj-accablante,accablante-conj-suffocante",-0.9,0
"Le chagrin était une blessure incurable, béante, purulente, mortelle et sans remède.","Sorrow was an incurable, gaping, festering, deadly, and remediless wound.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADP NOUN PUNCT,"était-nsubj-chagrin,était-cop-était,était-obj-blessure,blessure-det-une,blessure-amod-incurable,incurable-conj-béante,béante-conj-purulente,purulente-conj-mortelle,remède-case-sans,chagrin-det-le",-0.9,2
"Elle se sentait prisonnière de son corps, de son esprit, de son passé, de son destin, de son désespoir et de son néant.","She felt trapped in her body, mind, past, destiny, despair, and nothingness.",PRON PRON VERB VERB ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"sentait-nsubj-elle,sentait-obj-se,sentait-xcomp-prisonnière,prisonnière-obl-corps,corps-det-son,corps-conj-esprit,esprit-det-son,esprit-conj-passé,passé-det-son,passé-conj-destin,destin-det-son,destin-conj-désespoir,désespoir-det-son,désespoir-conj-néant,néant-det-son,néant-case-de son",-0.9,3
"Les larmes étaient sa seule nourriture, sa seule consolation, sa seule échappatoire, sa seule amie et sa seule raison de vivre.","Tears were her only nourishment, her only consolation, her only escape, her only friend, and her only reason for living.",DET NOUN AUX DET ADJ NOUN PUNCT DET ADJ NOUN PUNCT DET ADJ NOUN PUNCT DET ADJ NOUN CCONJ DET ADJ NOUN ADP VERB PUNCT,"étaient-nsubj-larmes,étaient-cop-étaient,étaient-obj-nourriture,nourriture-det-sa seule,nourriture-conj-consolation,consolation-det-sa seule,consolation-conj-échappatoire,échappatoire-det-sa seule,échappatoire-conj-amie,amie-det-sa seule,amie-conj-raison,raison-det-sa seule,raison-obl-vivre,vivre-case-de,larmes-det-les",-0.8,2
"Un vide immense, froid, sombre, sans fin, abyssal, désespérant et mortel.","A huge, cold, dark, endless, abyssal, despairing, and deadly void.",DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADP NOUN PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"vide-det-un,immense-amod-immense,froid-amod-froid,sombre-amod-sombre,fin-case-sans,abyssal-amod-abyssal,désespérant-amod-désespérant,mortel-amod-mortel",-0.9,0
"Le monde était un cauchemar de souffrance, de désolation, de solitude, de vide et de néant.","The world was a nightmare of suffering, desolation, loneliness, emptiness, and nothingness.",DET NOUN AUX DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"était-nsubj-monde,était-cop-était,était-obj-cauchemar,cauchemar-det-un,cauchemar-nmod-souffrance,souffrance-case-de,souffrance-conj-désolation,désolation-case-de,désolation-conj-solitude,solitude-case-de,solitude-conj-vide,vide-case-de,vide-conj-néant,néant-case-de,monde-det-le",-0.9,2
"Elle portait le poids de sa solitude, de son silence, de sa douleur, de son désespoir, de sa résignation et de son néant.","She carried the weight of her loneliness, her silence, her pain, her despair, her resignation, and her nothingness.",PRON VERB DET NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"portait-nsubj-elle,portait-obj-poids,poids-det-le,poids-nmod-solitude,solitude-det-sa,solitude-conj-silence,silence-det-son,silence-conj-douleur,douleur-det-sa,douleur-conj-désespoir,désespoir-det-son,désespoir-conj-résignation,résignation-det-sa,résignation-conj-néant,néant-det-son,néant-case-de son",-0.9,2
"Les jours s'éteignaient dans l'oubli, le désespoir, l'amertume, la résignation, la mort, le néant et l'indifférence.","The days died out in oblivion, despair, bitterness, resignation, death, nothingness, and indifference.",DET NOUN PRON VERB ADP DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"éteignaient-nsubj-jours,éteignaient-obj-s',éteignaient-obl-oubli,oubli-det-l',oubli-conj-désespoir,désespoir-det-le,désespoir-conj-amertume,amertume-det-l',amertume-conj-résignation,résignation-det-la,résignation-conj-mort,mort-det-la,mort-conj-néant,néant-det-le,néant-conj-indifférence,indifférence-det-l',jours-det-les",-0.9,2
"Un cœur lourd, vide, brisé, désespéré, sans espoir, sans vie, sans avenir et sans lumière.","A heavy, empty, broken, desperate, hopeless, lifeless, futureless, and lightless heart.",DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"cœur-det-un,lourd-amod-lourd,vide-amod-vide,brisé-amod-brisé,désespéré-amod-désespéré,espoir-case-sans,vie-case-sans,avenir-case-sans,lumière-case-sans",-0.9,0
"Le silence était un linceul froid, sombre, lourd, éternel, oppressant et infini.","Silence was a cold, dark, heavy, eternal, oppressive, and infinite shroud.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"était-nsubj-silence,était-cop-était,était-obj-linceul,linceul-det-un,linceul-amod-froid,froid-conj-sombre,sombre-conj-lourd,lourd-conj-éternel,éternel-conj-oppressant,oppressant-conj-infini,silence-det-le",-0.9,2
"Il ne restait que l'écho de sa voix, de ses larmes, de son désespoir, de sa solitude, de son néant et de son silence.","Only the echo of his voice, tears, despair, loneliness, nothingness, and silence remained.",PRON ADV VERB ADV DET NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"restait-nsubj-il,restait-advmod-ne,restait-advmod-que,restait-obj-écho,écho-det-l',écho-nmod-voix,voix-det-sa,voix-conj-larmes,larmes-det-ses,larmes-conj-désespoir,désespoir-det-son,désespoir-conj-solitude,solitude-det-sa,solitude-conj-néant,néant-det-son,néant-conj-silence,silence-det-son,silence-case-de son",-0.9,2
"Elle pleurait l'absence de lumière, d'espoir, de chaleur, de joie, d'amour et de paix.","She cried for the absence of light, hope, warmth, joy, love, and peace.",PRON VERB DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"pleurait-nsubj-elle,pleurait-obj-absence,absence-det-l',absence-nmod-lumière,lumière-case-de,lumière-conj-espoir,espoir-case-d',espoir-conj-chaleur,chaleur-case-de,chaleur-conj-joie,joie-case-de,joie-conj-amour,amour-case-d',amour-conj-paix,paix-case-de",-0.8,2
"Les étoiles étaient des larmes gelées, silencieuses, amères, infinies, éternelles et sans fin.","The stars were frozen, silent, bitter, infinite, eternal, and endless tears.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADP NOUN PUNCT,"étaient-nsubj-étoiles,étaient-cop-étaient,étaient-obj-larmes,larmes-det-des,larmes-amod-gelées,gelées-conj-silencieuses,silencieuses-conj-amères,amères-conj-infinies,infinies-conj-éternelles,éternelles-conj-sans fin,fin-case-sans,étoiles-det-les",-0.7,2
"Un voile de tristesse éternelle, profonde, sans fin, accablante, suffocante et désespérante.","A veil of eternal, deep, endless, overwhelming, suffocating, and despairing sadness.",DET NOUN ADP NOUN ADJ PUNCT ADJ PUNCT ADP NOUN PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"voile-det-un,voile-nmod-tristesse,tristesse-case-de,tristesse-amod-éternelle,éternelle-conj-profonde,profonde-conj-sans fin,fin-case-sans,fin-conj-accablante,accablante-conj-suffocante,suffocante-conj-désespérante",-0.9,0
"Le chagrin était une blessure incurable, béante, purulente, mortelle, sans remède et sans espoir.","Sorrow was an incurable, gaping, festering, deadly, remediless, and hopeless wound.",DET NOUN AUX DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"était-nsubj-chagrin,était-cop-était,était-obj-blessure,blessure-det-une,blessure-amod-incurable,incurable-conj-béante,béante-conj-purulente,purulente-conj-mortelle,remède-case-sans,espoir-case-sans,chagrin-det-le",-0.9,2
"Elle se sentait prisonnière de son corps, de son esprit, de son passé, de son destin, de son désespoir, de son néant et de son silence.","She felt trapped in her body, mind, past, destiny, despair, nothingness, and silence.",PRON PRON VERB VERB ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"sentait-nsubj-elle,sentait-obj-se,sentait-xcomp-prisonnière,prisonnière-obl-corps,corps-det-son,corps-conj-esprit,esprit-det-son,esprit-conj-passé,passé-det-son,passé-conj-destin,destin-det-son,destin-conj-désespoir,désespoir-det-son,désespoir-conj-néant,néant-det-son,néant-conj-silence,silence-det-son,silence-case-de son",-0.9,3
"Les larmes étaient sa seule nourriture, sa seule consolation, sa seule échappatoire, sa seule amie, sa seule raison de vivre et sa seule lumière.","Tears were her only nourishment, her only consolation, her only escape, her only friend, her only reason for living, and her only light.",DET NOUN AUX DET ADJ NOUN PUNCT DET ADJ NOUN PUNCT DET ADJ NOUN PUNCT DET ADJ NOUN PUNCT DET ADJ NOUN ADP VERB CCONJ DET ADJ NOUN PUNCT,"étaient-nsubj-larmes,étaient-cop-étaient,étaient-obj-nourriture,nourriture-det-sa seule,nourriture-conj-consolation,consolation-det-sa seule,consolation-conj-échappatoire,échappatoire-det-sa seule,échappatoire-conj-amie,amie-det-sa seule,amie-conj-raison,raison-det-sa seule,raison-obl-vivre,vivre-case-de,raison-conj-lumière,lumière-det-sa seule,larmes-det-les",-0.8,2
"Un vide immense, froid, sombre, sans fin, abyssal, désespérant, mortel et éternel.","A huge, cold, dark, endless, abyssal, despairing, deadly, and eternal void.",DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADP NOUN PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"vide-det-un,immense-amod-immense,froid-amod-froid,sombre-amod-sombre,fin-case-sans,abyssal-amod-abyssal,désespérant-amod-désespérant,mortel-amod-mortel,éternel-amod-éternel",-0.9,0
